City,Country,Longitude,Latitude,Humidity,Minimum Temperature,Maximum Temperature,Wind Speed,Cloudiness,Date
Wamba,CD,27.99,2.14,35,85.54,85.54,4.52,8,1553362424
Pontianak,ID,109.34,-0.02,97,79.6,79.6,7.09,24,1553362363
Zempoala,MX,-98.0,20.09,50,68.89,68.89,2.28,0,1553362424
Tanout,NE,8.88,14.97,13,92.65,92.65,4.63,0,1553362287
Saldanha,PT,-6.55,41.42,29,64.75,64.75,8.66,24,1553362281
Samarai,PG,150.67,-10.62,100,75.82,75.82,9.78,92,1553362269
Erenhot,CN,111.97,43.65,66,30.1,30.1,15.48,0,1553362428
Berlevag,NO,29.09,70.86,100,30.37,30.37,6.76,12,1553362354
Clyde,NZ,169.32,-45.19,97,46.99,46.99,1.95,64,1553362306
Ostrovnoy,RU,39.51,68.05,87,29.29,29.29,26.33,8,1553362268
Koster,ZA,26.9,-25.86,65,68.89,68.89,3.06,44,1553362429
Moorhead,US,-96.75,46.87,80,35.6,41.0,9.17,1,1553362036
Vyazemskiy,RU,134.76,47.53,71,5.98,5.98,3.29,0,1553362429
Saint-Pierre,FR,4.24,48.95,76,51.8,59.0,11.41,0,1553362025
Bonavista,CA,-53.11,48.65,77,44.14,44.14,10.33,12,1553362171
Coihaique,CL,-72.07,-45.58,51,59.0,60.8,8.05,20,1553360400
Kavaratti,IN,72.64,10.57,100,83.65,83.65,7.76,0,1553362327
Aksarka,RU,67.8,66.56,72,8.59,8.59,3.51,0,1553362331
Srednekolymsk,RU,153.71,67.46,53,-4.83,-4.83,2.39,0,1553362365
Salalah,OM,54.1,17.01,74,80.6,80.6,10.29,40,1553359800
Aklavik,CA,-135.01,68.22,67,15.8,17.6,19.46,75,1553360400
Bosaso,SO,49.18,11.28,100,78.34,78.34,1.39,0,1553362269
Auki,NG,6.51,12.18,37,88.33,88.33,2.84,0,1553362421
Praia,BR,-43.81,-20.25,54,73.4,80.6,5.82,75,1553356800
Cayenne,GF,-52.33,4.94,62,86.0,86.0,12.75,20,1553360400
Reichenbach,DE,12.3,50.62,76,46.99,57.0,10.29,8,1553362418
Karratha,AU,116.85,-20.74,58,82.57,82.57,38.41,92,1553362434
Komsomolskiy,RU,63.78,67.55,88,22.63,22.63,11.68,80,1553362357
Matara,PE,-72.9,-13.74,62,55.4,55.4,2.51,40,1553360400
Evanton,GB,-4.34,57.66,61,46.4,48.99,16.11,20,1553362274
Viedma,AR,-62.99,-40.81,53,69.79,69.79,17.38,8,1553362336
Salinopolis,BR,-47.36,-0.61,100,80.5,80.5,10.0,88,1553362215
Gamboma,CG,15.88,-1.87,100,71.59,71.59,7.76,88,1553362295
Sola,NO,5.65,58.89,75,39.0,44.6,17.22,40,1553362300
Sjovegan,NO,17.85,68.87,48,32.0,39.2,19.46,92,1553362256
Kharabali,RU,47.25,47.41,93,41.98,41.98,7.2,92,1553362438
Muzhi,RU,64.7,65.4,63,9.4,9.4,3.06,0,1553362438
Pevek,RU,170.27,69.7,35,-23.64,-23.64,3.4,0,1553362302
Manzanillo,CU,-77.12,20.34,100,76.99,76.99,16.49,12,1553362419
Adre,TD,22.2,13.47,49,82.3,82.3,3.18,12,1553362268
Sisimiut,GL,-53.67,66.94,71,-6.81,-6.81,2.28,68,1553362174
Tomatlan,MX,-105.25,19.93,45,85.54,85.54,3.62,0,1553362439
Baoding,CN,115.49,38.86,41,32.35,32.35,6.2,0,1553362439
Atar,MR,-13.05,20.52,27,81.49,81.49,10.33,0,1553362256
Chuy,UY,-53.46,-33.69,83,74.92,74.92,7.31,20,1553362296
Ancud,CL,-73.83,-41.87,72,59.0,59.0,5.82,75,1553360400
Gweta,BW,25.26,-20.21,29,84.28,84.28,15.7,0,1553362440
Antalya,TR,30.69,36.9,67,59.0,61.0,4.7,20,1553361600
Burnie,AU,145.91,-41.05,90,57.0,60.01,15.26,92,1553362323
Porirua,NZ,174.84,-41.14,82,57.0,62.6,10.29,20,1553362301
Panguna,PG,155.48,-6.32,92,74.02,74.02,2.84,68,1553362440
Sopron,HU,16.6,47.68,48,48.99,60.8,3.36,0,1553362217
Kavieng,PG,150.8,-2.57,100,83.65,83.65,10.22,44,1553362314
Kosonsoy,UZ,71.55,41.25,61,50.0,50.0,13.87,44,1553358600
Esperance,TT,-61.45,10.24,48,86.0,87.8,18.34,40,1553362238
Kutum,SD,24.66,14.2,41,76.99,76.99,2.95,36,1553362364
Skowhegan,US,-69.72,44.77,52,35.01,44.01,16.11,75,1553362431
Churapcha,RU,132.43,62.0,62,-0.15,-0.15,5.75,48,1553362441
Cidreira,BR,-50.22,-30.17,85,74.47,74.47,5.41,12,1553362256
Ust-Nera,RU,143.24,64.57,68,-12.39,-12.39,2.17,56,1553362278
Ellisras,ZA,27.74,-23.67,57,74.47,74.47,9.55,8,1553362441
Upernavik,GL,-56.15,72.79,100,-5.91,-5.91,9.66,24,1553362274
Kankan,GN,-9.3,10.38,48,85.54,85.54,6.64,32,1553362442
Kumo,NG,11.21,10.05,25,95.8,95.8,3.18,68,1553362442
Palmer,AU,139.16,-34.85,77,62.01,70.0,5.82,75,1553362405
Uromi,NG,6.33,6.71,58,88.15,88.15,6.76,44,1553362442
Sinnamary,GF,-52.96,5.38,87,82.39,82.39,11.34,92,1553362442
Tual,ID,132.75,-5.67,96,85.09,85.09,11.12,24,1553362172
Chokurdakh,RU,147.9,70.62,50,-17.52,-17.52,3.18,56,1553362218
Kamenka,RU,44.05,53.19,96,32.71,32.71,9.1,64,1553362329
Mitsamiouli,KM,43.28,-11.38,88,80.6,80.6,3.36,40,1553360400
Iguape,BR,-47.56,-24.7,94,79.87,79.87,6.98,24,1553362175
Kanye,BW,25.34,-24.98,43,75.82,75.82,10.11,0,1553362443
Gigmoto,PH,124.39,13.78,100,75.01,75.01,10.0,0,1553362156
Itarema,BR,-39.92,-2.92,97,79.6,79.6,5.08,92,1553362443
Shingu,JP,135.99,33.72,100,47.47,47.47,14.7,0,1553362336
Miri,NG,9.75,10.31,21,89.05,89.05,8.43,12,1553362444
Okhotsk,RU,143.24,59.36,86,21.19,21.19,7.2,88,1553362345
Osakarovka,KZ,72.58,50.56,93,36.85,36.85,3.74,88,1553362444
Sudak,UA,34.97,44.85,100,35.86,35.86,9.78,76,1553362444
Boyuibe,BO,-63.28,-20.43,77,69.8,69.8,8.43,90,1553356800
Djambala,CG,14.76,-2.55,92,73.39,73.39,8.66,80,1553362445
Qandala,SO,49.87,11.47,84,69.79,69.79,2.95,0,1553362355
Opuwo,NA,13.84,-18.06,38,81.13,81.13,3.85,88,1553362445
Vanimo,PG,141.3,-2.67,98,83.11,83.11,16.71,56,1553362172
Victoria,BN,115.24,5.28,94,80.01,82.4,4.7,75,1553360400
Dongying,CN,118.67,37.43,59,25.87,25.87,3.18,0,1553362445
Ventersburg,ZA,27.14,-28.08,58,69.52,69.52,5.3,48,1553362445
Petropavlovsk-Kamchatskiy,RU,158.65,53.05,81,32.0,32.0,11.18,40,1553360400
Havoysund,NO,24.66,71.0,80,33.8,33.8,4.7,12,1553359800
Mekhe,SN,-16.62,15.11,57,75.2,75.2,18.34,20,1553360400
Kijang,KR,129.21,35.24,59,37.4,37.4,9.17,0,1553360400
Ryde,GB,-1.16,50.73,57,48.99,55.4,2.24,75,1553362445
Cairns,AU,145.77,-16.92,83,72.0,78.8,10.29,75,1553361918
Ocampo,PH,123.37,13.56,95,73.93,73.93,8.99,0,1553362446
Rabaul,PG,152.17,-4.2,100,79.06,79.06,4.74,56,1553362446
Laguna,MX,-110.01,27.52,40,69.8,69.8,5.82,5,1553359200
Kawalu,ID,108.21,-7.38,92,68.44,68.44,2.06,68,1553362447
Yerbogachen,RU,108.01,61.28,50,7.87,7.87,7.2,32,1553362319
Antofagasta,CL,-70.4,-23.65,56,71.6,71.6,11.41,0,1553360400
Hohhot,CN,111.65,40.81,52,19.4,19.4,4.47,0,1553360400
Zhifang,CN,114.31,30.35,76,51.8,51.8,2.24,12,1553360400
Chicama,PE,-79.15,-7.84,78,71.6,71.6,11.41,0,1553360400
Manama,AE,56.02,25.33,34,73.4,80.6,20.8,0,1553362153
Deputatskiy,RU,139.9,69.3,0,-31.38,-31.38,2.62,0,1553362138
Martapura,ID,114.85,-3.41,100,73.4,73.4,3.36,90,1553356800
Bagaces,CR,-85.25,10.53,38,91.4,91.4,17.22,0,1553360400
Neepawa,CA,-99.46,50.23,80,33.8,33.8,10.29,75,1553360400
Tuatapere,NZ,167.69,-46.13,90,55.99,55.99,6.76,76,1553362209
Dwarka,IN,77.04,28.58,53,71.6,71.6,6.93,20,1553360400
Uige,AO,15.06,-7.61,97,65.65,65.65,2.28,88,1553362240
Hit,IQ,42.83,33.64,60,58.0,58.0,9.22,44,1553362449
Kasungu,MW,33.48,-13.04,78,71.95,71.95,7.65,44,1553362449
Singaraja,ID,115.08,-8.11,100,73.03,73.03,1.95,88,1553362449
Khani,GE,42.96,41.96,100,44.6,44.6,9.17,90,1553360400
Obihiro,JP,143.2,42.92,49,0.94,0.94,2.62,0,1553362449
Naze,NG,7.07,5.43,66,89.6,89.6,4.7,75,1553356800
Paita,PE,-81.11,-5.09,290,62.6,62.6,8.88,0,1553360400
Sirur,IN,74.38,18.83,38,72.04,72.04,7.76,0,1553362450
Kieta,PG,155.63,-6.22,98,79.06,79.06,2.28,80,1553362450
Nileshwar,IN,75.1,12.25,98,84.19,84.19,7.65,32,1553362450
Enshi,CN,109.48,30.29,96,37.3,37.3,1.72,92,1553362451
Mantua,IT,10.79,45.16,28,48.0,69.8,2.24,0,1553362207
Yulara,AU,130.99,-25.24,32,82.4,82.4,12.75,56,1553360400
Katherine,AU,132.26,-14.47,83,78.8,78.8,2.95,90,1553360400
Kaka,TM,59.62,37.35,96,33.7,33.7,2.51,0,1553362451
Lavrentiya,RU,-170.99,65.58,100,14.17,14.17,10.0,92,1553362285
Bose,IT,8.01,45.46,18,59.0,70.0,2.24,0,1553362443
Cartagena,ES,-1.0,37.63,82,59.0,62.01,11.41,20,1553362349
Hofn,IS,-15.21,64.25,100,37.48,37.48,9.22,92,1553362452
Oranjestad,AW,-70.03,12.52,66,86.0,86.0,18.34,75,1553360400
Wagar,US,-87.99,31.44,35,70.0,71.01,1.01,0,1553362345
Inhambane,MZ,35.38,-23.87,94,75.2,75.2,3.36,40,1553360400
Morden,CA,-98.1,49.19,90,35.6,42.8,11.41,1,1553362289
Ballina,IE,-9.15,54.11,70,44.6,46.4,10.29,90,1553362208
Bettendorf,US,-90.51,41.53,50,46.0,53.01,9.17,1,1553362202
Tabou,CI,-7.36,4.42,93,84.28,84.28,7.2,44,1553362047
Shalinskoye,RU,93.76,55.72,79,21.37,21.37,2.62,36,1553362456
Pithiviers,FR,2.25,48.17,66,51.8,55.99,8.05,0,1553362420
Gorontalo,ID,123.06,0.54,95,72.13,72.13,2.17,24,1553362456
Pitanga,BR,-51.76,-24.76,62,79.78,79.78,3.4,0,1553362456
Grindavik,IS,-22.43,63.84,93,37.4,41.0,19.46,75,1553362298
Pisco,PE,-76.2,-13.71,30,71.6,71.6,9.17,0,1553360400
Taltal,CL,-70.49,-25.41,75,71.05,71.05,3.74,0,1553362457
Olavarria,AR,-60.32,-36.89,57,77.44,77.44,17.94,0,1553362229
Acurenam,GA,10.67,1.03,91,74.38,74.38,3.96,88,1553362457
Gemena,CD,19.78,3.25,91,71.59,71.59,3.62,76,1553362457
Maputo,MZ,32.57,-25.97,74,80.6,80.6,6.93,20,1553360400
Susangerd,IR,48.19,31.56,22,75.2,75.2,2.24,40,1553360400
Bowen,AU,148.25,-20.01,94,75.0,75.2,3.36,88,1553362185
Iquitos,PE,-73.25,-3.75,319,42.8,42.8,3.36,75,1553360400
Neustadt,CH,8.31,47.05,39,50.0,62.6,1.16,0,1553362279
Jining,CN,116.58,35.41,63,29.02,29.02,2.84,12,1553362300
Shimoda,JP,138.93,34.7,91,28.99,28.99,5.19,0,1553361774
Aykhal,RU,111.51,65.95,59,-3.57,-3.57,8.32,64,1553362461
Vestmannaeyjar,IS,-20.27,63.44,86,39.2,39.2,18.34,75,1553360400
Gisborne,NZ,178.02,-38.66,98,57.99,57.99,4.74,8,1553362213
Morondava,MG,44.28,-20.3,77,85.27,85.27,5.75,20,1553362338
Acajutla,SV,-89.83,13.59,44,89.14,89.14,3.62,0,1553362447
Nagato,JP,131.14,34.35,45,43.0,46.4,13.87,75,1553361751
Shymkent,KZ,69.59,42.31,81,48.2,48.2,6.71,90,1553360400
Ariquemes,BR,-63.03,-9.91,97,73.12,73.12,2.95,92,1553362462
Pangnirtung,CA,-65.72,66.15,70,-0.41,-0.41,20.8,90,1553360400
Kaeo,NZ,173.78,-35.1,95,55.99,55.99,2.84,0,1553360885
Thinadhoo,MV,72.93,0.53,100,85.9,85.9,7.65,32,1553362300
Caravelas,BR,-39.27,-17.73,100,80.05,80.05,21.52,92,1553362301
Orlik,RU,99.83,52.51,72,21.01,21.01,5.19,76,1553362463
Chimbote,PE,-78.59,-9.08,79,74.2,74.2,4.74,32,1553362463
Husavik,CA,-96.99,50.56,63,39.99,39.99,10.0,0,1553362253
At-Bashi,KG,75.81,41.17,78,15.97,15.97,2.84,24,1553362463
Madisonville,US,-87.5,37.33,32,51.8,57.0,6.64,1,1553362313
Farafangana,MG,47.83,-22.82,100,75.64,75.64,7.2,76,1553362463
Wawa,NG,4.41,9.9,29,92.56,92.56,3.96,0,1553362288
Keller,US,-97.23,32.93,72,62.6,66.2,18.34,90,1553362206
Broome,GB,1.45,52.47,57,46.0,50.0,6.93,0,1553362326
Tazmalt,DZ,4.4,36.39,82,57.0,60.8,4.7,40,1553361876
Kantang,TH,99.52,7.42,100,81.67,81.67,4.52,0,1553362464
Maragogi,BR,-35.22,-9.01,100,84.28,84.28,9.66,0,1553362332
Longyearbyen,NO,15.63,78.22,73,21.2,21.2,10.29,75,1553359800
Wattegama,LK,80.68,7.35,93,68.98,68.98,2.51,12,1553362464
Pierre,US,-100.35,44.37,75,42.01,42.8,8.05,90,1553362166
Diamantino,BR,-56.44,-14.4,71,87.34,87.34,3.96,0,1553362464
